Year,Gender,Texas_Born,Month_Born,Day_Born,Year_Born,Height,Arm_Span,Length_Foot,Hand_Length,Weight,Dominant_Hand,Snaps_Left,Snaps_Right,Heartrate,Eye_Color,Corrective_Lens,Type_Lens,Live_Campus,Transport_Type,Commute_Minutes,Mother_Age,Father_Age,Mother_Education,Num_Siblings,FirstGen,HSGrad,Calculus,APStats,Math_Grade,HS_GPA,GPA,Smoke,Drink,Hours_Sleep,Tire,Num_Languages,Favorite_Season,Vegatarian,Hours_Work,Favorite_Status,Semester,Smester2,Course
2021,Male,Yes,8,21,1967,71,54,9,7,284,Right,28,47,33,Hazel,Yes,Glasses,No,car (by yourself),19,31,39,Professional degree,1,No,Yes,Yes,No,A,3.75,3.79,No,Yes,6,rear left,2,Fall,No,45,Happy,Fall,Fall 2021,MATH 2328
2021,female,Yes,5,23,2002,67,48,8,5,179,Right,10,12,73,Brown,Yes,Glasses,No,bus,30,41,52,Some college,1,Yes,Yes,Yes,No,B,3.19,2.9,No,No,8,rear right,2,Winter,No,37,Rich,Fall,Fall 2021,MATH 2328
2021,Female,No,11,10,1998,60,60,10,6,130,Right,36,28,22,Brown,Yes,Contacts,No,car (by yourself),50,26,33,Some college,3,Yes,Yes,Yes,No,A,3.65,4,No,Yes,5,rear left,2,Fall,No,,Happy,Fall,Fall 2021,MATH 2328
2021,Female ,Yes,2,10,2001,62,58,9,6,125,Right,73,62,22,Hazel,No,No correction,No,car (by yourself),8,21,23,Professional degree,2,No,Yes,No,No,C,3.5,3.38,No,Yes,7,front right,1,Fall,No,20,Happy,Fall,Fall 2021,MATH 2328
2021,female,No,,24,2002,61,55,4,5,94,Right,36,38,22,Brown,No,No correction,No,bus,35,24,33,High school graduate,4,Yes,Yes,No,No,D,3.56,2.9,No,No,8,rear left,2,Fall,No,16,Rich,Fall,Fall 2021,MATH 2328
2021,female,Yes,3,10,2002,66,58,11,7,125,Right,22,34,49,Brown,No,No correction,No,bus,20,21,22,Professional degree,2,Yes,Yes,Yes,No,B,3.4,3.45,No,No,9,front right,0,Summer,No,0,Happy,Fall,Fall 2021,MATH 2328
2021,Male,Yes,10,24,2001,67,40,9,7,140,Right,61,67,32,Brown,Yes,Contacts,No,bus,15,53,52,High school graduate,2,Yes,Yes,Yes,No,B,4,2.9,No,No,9,rear left,2,Fall,No,,Happy,Fall,Fall 2021,MATH 2328
2021,male,No,8,6,2000,66,64,10,7,185,Right,,,,Brown,Yes,Glasses,No,bus,30,37,35,Some college,,No,No,Yes,Yes,C,3.5,3.2,No,Yes,6,front right,1,Fall,No,,Rich,Fall,Fall 2021,MATH 2328
2021,female,Yes,6,5,2002,68,68,6,9,120,Right,45,45,24,Green,Yes,Contacts,No,bus,20,22,28,High school graduate,3,No,Yes,Yes,No,A,4,3.89,No,Yes,5,front right,1,Fall,No,30,Happy,Fall,Fall 2021,MATH 2328
2021,female,Yes,6,5,2001,64,64,8,6,154,Left,0,11,35,Blue,Yes,Contacts,No,bus,29,28,29,High school graduate,,Yes,Yes,No,No,A,3.6,3.7,No,Yes,5,front left,1,Summer,No,25,Happy,Fall,Fall 2021,MATH 2328
2021,Male,Yes,5,16,2002,67,66,6,7,174,Right,52,33,60,Brown,No,No correction,Yes,bus,8,32,40,4 year degree,3,No,Yes,Yes,No,C,2.73,,No,Yes,9,rear right,1,Summer,No,26,Happy,Fall,Fall 2021,MATH 2328
2021,Male,Yes,5,31,2001,69,67,10,7,191,Right,68,61,73,Brown,No,No correction,No,bus,60,30,31,Some college,1,Yes,Yes,Yes,No,A,3.25,3.34,No,Yes,6,front right,2,Winter,No,,Happy,Fall,Fall 2021,MATH 2328
2021,female,No,9,26,2002,65,64,7,10,106,Left,58,65,25,Brown,Yes,Contacts,No,bus,13,18,19,2 year degree,3,No,Yes,Yes,No,A,3.76,3.76,No,No,8,front right,1,Fall,No,20,Rich,Fall,Fall 2021,MATH 2328
2021,Female,Yes,12,5,2000,65,66,9,6,108,Right,26,40,26,Brown,Yes,Glasses,No,bus,45,17,18,2 year degree,3,No,Yes,No,No,A,3.37,3.69,No,Yes,7,rear left,1,Summer,No,16,Rich,Fall,Fall 2021,MATH 2328
2021,Man,No,7,9,1998,65,,,,160,Right,57,55,25,Hazel,Yes,Glasses,No,bus,20,58,61,Some college,2,Yes,Yes,Yes,Yes,A,3.02,3,No,Yes,8,front right,2,Fall,No,22,Happy,Fall,Fall 2021,MATH 2328
