By_Eye,SRS,Group,Class
9,5,,290
10,5.4,K,290
9.2,5,e,290
8.2,4.4,e,290
9.2,4.8,B,290
8.8,5.8,e,290
7.6,5.2,B,290
9.4,5.8,K,290
9.6,4.6,x,290
11,5.4,e,290
10.4,3.6,B,290
9,4.6,K,290
6.8,7.8,B,290
7.8,11,B,290
8.8,3.8,K,290
9.6,3,x,290
8.6,5.2,x,290
9,4.8,x,290
10.4,4,A,290
10,5.4,x,290
8.8,3.2,A,290
9,5,A,290
8,6,Z,290
8,6.4,C,290
10.2,4.8,C,290
8.8,8.4,C,290
9.2,4,C,290
8.8,6.4,B,290
5.4,5.4,4,291
8,3,Group 3,291
8.2,5,4,291
10.2,4.2,Group crunch it ,291
8.8,2.4,Group 3,291
8.8,5.2,Group 1,291
8.4,3,4,291
10,4.2,4,291
10,4.6,Group 3,291
8.8,3.4,Group 1,291
10.2,4.4,Group Chrunch it ,291
7.8,7,Group 3,291
10.4,5.8,Row 3,291
8.6,2.2,Group 1,291
7.6,3.8,crunchit ,291
8,2.8,Group 1,291
10.4,6.25,crunchit,291
6.6,5.2,Group 1,291
9,5.8,Row 3,291
9,6,F,291
9.6,4.8,Row 3,291
9.2,2.4,F,291
9.2,6,,291
9.2,6.4,F,291
4.2,2.8,,291
6,4.6,,291
9.2,5.6,,291
9.4,3.6,,291
8.8,7.2,Row 3,291
